id,time,flow
BC-BB-F3-18100-0101,2019-03-22 01:25:00,0.738594
BC-BB-F3-18100-0101,2019-03-22 01:26:00,0.769355
BC-BB-F3-18100-0101,2019-03-22 01:27:00,0.796787
BC-BB-F3-18100-0101,2019-03-22 01:28:00,0.819412
BC-BB-F3-18100-0101,2019-03-22 01:29:00,0.838423
BC-BB-F3-18100-0101,2019-03-22 01:30:00,0.855366
BC-BB-F3-18100-0101,2019-03-22 01:31:00,0.870722
BC-BB-F3-18100-0101,2019-03-22 01:32:00,0.881723
BC-BB-F3-18100-0101,2019-03-22 01:33:00,0.887206
BC-BB-F3-18100-0101,2019-03-22 01:34:00,0.888968
BC-BB-F3-18100-0101,2019-03-22 01:35:00,0.888933
BC-BB-F3-18100-0101,2019-03-22 01:36:00,0.888671
BC-BB-F3-18100-0101,2019-03-22 01:37:00,0.891284
BC-BB-F3-18100-0101,2019-03-22 01:38:00,0.89853
BC-BB-F3-18100-0101,2019-03-22 01:39:00,0.909956
BC-BB-F3-18100-0101,2019-03-22 01:40:00,0.925826
BC-BB-F3-18100-0101,2019-03-22 01:41:00,0.946357
BC-BB-F3-18100-0101,2019-03-22 01:42:00,0.966193
BC-BB-F3-18100-0101,2019-03-22 01:43:00,0.982101
BC-BB-F3-18100-0101,2019-03-22 01:44:00,0.994364
BC-BB-F3-18100-0101,2019-03-22 01:45:00,1.003739
BC-BB-F3-18100-0101,2019-03-22 01:46:00,1.011431
BC-BB-F3-18100-0101,2019-03-22 01:47:00,1.020847
BC-BB-F3-18100-0101,2019-03-22 01:48:00,1.033651
BC-BB-F3-18100-0101,2019-03-22 01:49:00,1.048708
BC-BB-F3-18100-0101,2019-03-22 01:50:00,1.064726
BC-BB-F3-18100-0101,2019-03-22 01:51:00,1.080985
BC-BB-F3-18100-0101,2019-03-22 01:52:00,1.096151
BC-BB-F3-18100-0101,2019-03-22 01:53:00,1.109606
BC-BB-F3-18100-0101,2019-03-22 01:54:00,1.121862
BC-BB-F3-18100-0101,2019-03-22 01:55:00,1.133544
BC-BB-F3-18100-0101,2019-03-22 01:56:00,1.144937
BC-BB-F3-18100-0101,2019-03-22 01:57:00,1.155797
BC-BB-F3-18100-0101,2019-03-22 01:58:00,1.166092
BC-BB-F3-18100-0101,2019-03-22 01:59:00,1.176088
BC-BB-F3-18100-0101,2019-03-22 02:00:00,1.186007
BC-BB-F3-18100-0101,2019-03-22 02:01:00,1.195949
BC-BB-F3-18100-0101,2019-03-22 02:02:00,1.205808
BC-BB-F3-18100-0101,2019-03-22 02:03:00,1.215585
BC-BB-F3-18100-0101,2019-03-22 02:04:00,1.225528
BC-BB-F3-18100-0101,2019-03-22 02:05:00,1.235512
BC-BB-F3-18100-0101,2019-03-22 02:06:00,1.245735
BC-BB-F3-18100-0101,2019-03-22 02:07:00,1.256113
BC-BB-F3-18100-0101,2019-03-22 02:08:00,1.266642
BC-BB-F3-18100-0101,2019-03-22 02:09:00,1.27734
BC-BB-F3-18100-0101,2019-03-22 02:10:00,1.288251
BC-BB-F3-18100-0101,2019-03-22 02:11:00,1.299394
BC-BB-F3-18100-0101,2019-03-22 02:12:00,1.310748
BC-BB-F3-18100-0101,2019-03-22 02:13:00,1.322323
BC-BB-F3-18100-0101,2019-03-22 02:14:00,1.334147
BC-BB-F3-18100-0101,2019-03-22 02:15:00,1.346273
BC-BB-F3-18100-0101,2019-03-22 02:16:00,1.359337
BC-BB-F3-18100-0101,2019-03-22 02:17:00,1.375797
BC-BB-F3-18100-0101,2019-03-22 02:18:00,1.396376
BC-BB-F3-18100-0101,2019-03-22 02:19:00,1.419167
BC-BB-F3-18100-0101,2019-03-22 02:20:00,1.443233
BC-BB-F3-18100-0101,2019-03-22 02:21:00,1.467839
BC-BB-F3-18100-0101,2019-03-22 02:22:00,1.49129
BC-BB-F3-18100-0101,2019-03-22 02:23:00,1.513266
BC-BB-F3-18100-0101,2019-03-22 02:24:00,1.534541
BC-BB-F3-18100-0101,2019-03-22 02:25:00,1.555703
BC-BB-F3-18100-0101,2019-03-22 02:26:00,1.576405
BC-BB-F3-18100-0101,2019-03-22 02:27:00,1.592996
BC-BB-F3-18100-0101,2019-03-22 02:28:00,1.605682
BC-BB-F3-18100-0101,2019-03-22 02:29:00,1.616669
BC-BB-F3-18100-0101,2019-03-22 02:30:00,1.627386
BC-BB-F3-18100-0101,2019-03-22 02:31:00,1.638618
BC-BB-F3-18100-0101,2019-03-22 02:32:00,1.650352
BC-BB-F3-18100-0101,2019-03-22 02:33:00,1.661981
BC-BB-F3-18100-0101,2019-03-22 02:34:00,1.673476
BC-BB-F3-18100-0101,2019-03-22 02:35:00,1.684896
BC-BB-F3-18100-0101,2019-03-22 02:36:00,1.696986
BC-BB-F3-18100-0101,2019-03-22 02:37:00,1.713937
BC-BB-F3-18100-0101,2019-03-22 02:38:00,1.736047
BC-BB-F3-18100-0101,2019-03-22 02:39:00,1.761363
BC-BB-F3-18100-0101,2019-03-22 02:40:00,1.787792
BC-BB-F3-18100-0101,2019-03-22 02:41:00,1.814868
BC-BB-F3-18100-0101,2019-03-22 02:42:00,1.83627
BC-BB-F3-18100-0101,2019-03-22 02:43:00,1.851108
BC-BB-F3-18100-0101,2019-03-22 02:44:00,1.862154
BC-BB-F3-18100-0101,2019-03-22 02:45:00,1.871481
BC-BB-F3-18100-0101,2019-03-22 02:46:00,1.880243
BC-BB-F3-18100-0101,2019-03-22 02:47:00,1.890257
BC-BB-F3-18100-0101,2019-03-22 02:48:00,1.902204
BC-BB-F3-18100-0101,2019-03-22 02:49:00,1.914891
BC-BB-F3-18100-0101,2019-03-22 02:50:00,1.927909
BC-BB-F3-18100-0101,2019-03-22 02:51:00,1.941567
BC-BB-F3-18100-0101,2019-03-22 02:52:00,1.959286
BC-BB-F3-18100-0101,2019-03-22 02:53:00,1.981268
BC-BB-F3-18100-0101,2019-03-22 02:54:00,2.005648
BC-BB-F3-18100-0101,2019-03-22 02:55:00,2.031142
BC-BB-F3-18100-0101,2019-03-22 02:56:00,2.056917
BC-BB-F3-18100-0101,2019-03-22 02:57:00,2.080971
BC-BB-F3-18100-0101,2019-03-22 02:58:00,2.102984
BC-BB-F3-18100-0101,2019-03-22 02:59:00,2.123872
BC-BB-F3-18100-0101,2019-03-22 03:00:00,2.144329
BC-BB-F3-18100-0101,2019-03-22 03:01:00,2.164565
BC-BB-F3-18100-0101,2019-03-22 03:02:00,2.184096
BC-BB-F3-18100-0101,2019-03-22 03:03:00,2.203035
BC-BB-F3-18100-0101,2019-03-22 03:04:00,2.222097
BC-BB-F3-18100-0101,2019-03-22 03:05:00,2.240887
BC-BB-F3-18100-0101,2019-03-22 03:06:00,2.259416
BC-BB-F3-18100-0101,2019-03-22 03:07:00,2.277644
BC-BB-F3-18100-0101,2019-03-22 03:08:00,2.29562
BC-BB-F3-18100-0101,2019-03-22 03:09:00,2.313461
BC-BB-F3-18100-0101,2019-03-22 03:10:00,2.331228
BC-BB-F3-18100-0101,2019-03-22 03:11:00,2.348987
BC-BB-F3-18100-0101,2019-03-22 03:12:00,2.367001
BC-BB-F3-18100-0101,2019-03-22 03:13:00,2.385296
BC-BB-F3-18100-0101,2019-03-22 03:14:00,2.40378
BC-BB-F3-18100-0101,2019-03-22 03:15:00,2.422545
