id,time,head,total_inflow
BC-BB-F3-18900,2019-03-22 00:01:00,0.0,
BC-BB-F3-18900,2019-03-22 00:02:00,0.0,
BC-BB-F3-18900,2019-03-22 00:03:00,0.0,
BC-BB-F3-18900,2019-03-22 00:04:00,0.0,
BC-BB-F3-18900,2019-03-22 00:05:00,0.0,
BC-BB-F3-18900,2019-03-22 00:06:00,0.0,
BC-BB-F3-18900,2019-03-22 00:07:00,0.0,
BC-BB-F3-18900,2019-03-22 00:08:00,0.0,
BC-BB-F3-18900,2019-03-22 00:09:00,2.2e-05,
BC-BB-F3-18900,2019-03-22 00:10:00,0.000118,
BC-BB-F3-18900,2019-03-22 00:11:00,0.000271,
BC-BB-F3-18900,2019-03-22 00:12:00,0.000551,
BC-BB-F3-18900,2019-03-22 00:13:00,0.001003,
BC-BB-F3-18900,2019-03-22 00:14:00,0.001683,
BC-BB-F3-18900,2019-03-22 00:15:00,0.00266,
BC-BB-F3-18900,2019-03-22 00:16:00,0.004018,
BC-BB-F3-18900,2019-03-22 00:17:00,0.005852,
BC-BB-F3-18900,2019-03-22 00:18:00,0.008263,
BC-BB-F3-18900,2019-03-22 00:19:00,0.011378,
BC-BB-F3-18900,2019-03-22 00:20:00,0.015553,
BC-BB-F3-18900,2019-03-22 00:21:00,0.020745,
BC-BB-F3-18900,2019-03-22 00:22:00,0.026502,
BC-BB-F3-18900,2019-03-22 00:23:00,0.031944,
BC-BB-F3-18900,2019-03-22 00:24:00,0.036283,
BC-BB-F3-18900,2019-03-22 00:25:00,0.039416,
BC-BB-F3-18900,2019-03-22 00:26:00,0.041934,
BC-BB-F3-18900,2019-03-22 00:27:00,0.044598,
BC-BB-F3-18900,2019-03-22 00:28:00,0.047324,
BC-BB-F3-18900,2019-03-22 00:29:00,0.049947,
BC-BB-F3-18900,2019-03-22 00:30:00,0.052453,
BC-BB-F3-18900,2019-03-22 00:31:00,0.054851,
BC-BB-F3-18900,2019-03-22 00:32:00,0.057148,
BC-BB-F3-18900,2019-03-22 00:33:00,0.059343,
BC-BB-F3-18900,2019-03-22 00:34:00,0.061435,
BC-BB-F3-18900,2019-03-22 00:35:00,0.063465,
BC-BB-F3-18900,2019-03-22 00:36:00,0.065434,
BC-BB-F3-18900,2019-03-22 00:37:00,0.067314,
BC-BB-F3-18900,2019-03-22 00:38:00,0.069087,
BC-BB-F3-18900,2019-03-22 00:39:00,0.070712,
BC-BB-F3-18900,2019-03-22 00:40:00,0.072085,
BC-BB-F3-18900,2019-03-22 00:41:00,0.073407,
BC-BB-F3-18900,2019-03-22 00:42:00,0.074769,
BC-BB-F3-18900,2019-03-22 00:43:00,0.076193,
BC-BB-F3-18900,2019-03-22 00:44:00,0.077702,
BC-BB-F3-18900,2019-03-22 00:45:00,0.079286,
BC-BB-F3-18900,2019-03-22 00:46:00,0.080881,
BC-BB-F3-18900,2019-03-22 00:47:00,0.082404,
BC-BB-F3-18900,2019-03-22 00:48:00,0.083804,
BC-BB-F3-18900,2019-03-22 00:49:00,0.085096,
BC-BB-F3-18900,2019-03-22 00:50:00,0.086356,
BC-BB-F3-18900,2019-03-22 00:51:00,0.087695,
BC-BB-F3-18900,2019-03-22 00:52:00,0.08923,
BC-BB-F3-18900,2019-03-22 00:53:00,0.090991,
BC-BB-F3-18900,2019-03-22 00:54:00,0.092874,
BC-BB-F3-18900,2019-03-22 00:55:00,0.094701,
BC-BB-F3-18900,2019-03-22 00:56:00,0.096333,
BC-BB-F3-18900,2019-03-22 00:57:00,0.097705,
BC-BB-F3-18900,2019-03-22 00:58:00,0.098814,
BC-BB-F3-18900,2019-03-22 00:59:00,0.09973,
BC-BB-F3-18900,2019-03-22 01:00:00,0.100552,
BC-BB-F3-18900,2019-03-22 01:01:00,0.101351,
BC-BB-F3-18900,2019-03-22 01:02:00,0.102154,
BC-BB-F3-18900,2019-03-22 01:03:00,0.102957,
BC-BB-F3-18900,2019-03-22 01:04:00,0.103744,
BC-BB-F3-18900,2019-03-22 01:05:00,0.104498,
BC-BB-F3-18900,2019-03-22 01:06:00,0.105209,
BC-BB-F3-18900,2019-03-22 01:07:00,0.105887,
BC-BB-F3-18900,2019-03-22 01:08:00,0.106563,
BC-BB-F3-18900,2019-03-22 01:09:00,0.107273,
BC-BB-F3-18900,2019-03-22 01:10:00,0.108056,
BC-BB-F3-18900,2019-03-22 01:11:00,0.108939,
BC-BB-F3-18900,2019-03-22 01:12:00,0.109981,
BC-BB-F3-18900,2019-03-22 01:13:00,0.111288,
BC-BB-F3-18900,2019-03-22 01:14:00,0.112983,
BC-BB-F3-18900,2019-03-22 01:15:00,0.115165,
BC-BB-F3-18900,2019-03-22 01:16:00,0.117891,
BC-BB-F3-18900,2019-03-22 01:17:00,0.121143,
BC-BB-F3-18900,2019-03-22 01:18:00,0.12487,
BC-BB-F3-18900,2019-03-22 01:19:00,0.129022,
