id,time,flow
BC-BB-F3-18100-0101,2019-03-22 00:01:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:02:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:03:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:04:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:05:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:06:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:07:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:08:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:09:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:10:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:11:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:12:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:13:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:14:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:15:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:16:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:17:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:18:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:19:00,0.0
BC-BB-F3-18100-0101,2019-03-22 00:20:00,0.000162
BC-BB-F3-18100-0101,2019-03-22 00:21:00,0.000237
BC-BB-F3-18100-0101,2019-03-22 00:22:00,0.000338
BC-BB-F3-18100-0101,2019-03-22 00:23:00,0.000474
BC-BB-F3-18100-0101,2019-03-22 00:24:00,0.000626
BC-BB-F3-18100-0101,2019-03-22 00:25:00,0.000838
BC-BB-F3-18100-0101,2019-03-22 00:26:00,0.001094
BC-BB-F3-18100-0101,2019-03-22 00:27:00,0.001403
BC-BB-F3-18100-0101,2019-03-22 00:28:00,0.001772
BC-BB-F3-18100-0101,2019-03-22 00:29:00,0.00221
BC-BB-F3-18100-0101,2019-03-22 00:30:00,0.002726
BC-BB-F3-18100-0101,2019-03-22 00:31:00,0.003328
BC-BB-F3-18100-0101,2019-03-22 00:32:00,0.004024
BC-BB-F3-18100-0101,2019-03-22 00:33:00,0.004817
BC-BB-F3-18100-0101,2019-03-22 00:34:00,0.005699
BC-BB-F3-18100-0101,2019-03-22 00:35:00,0.006676
BC-BB-F3-18100-0101,2019-03-22 00:36:00,0.007749
BC-BB-F3-18100-0101,2019-03-22 00:37:00,0.008914
BC-BB-F3-18100-0101,2019-03-22 00:38:00,0.01016
BC-BB-F3-18100-0101,2019-03-22 00:39:00,0.011477
BC-BB-F3-18100-0101,2019-03-22 00:40:00,0.012856
BC-BB-F3-18100-0101,2019-03-22 00:41:00,0.014287
BC-BB-F3-18100-0101,2019-03-22 00:42:00,0.015762
BC-BB-F3-18100-0101,2019-03-22 00:43:00,0.017373
BC-BB-F3-18100-0101,2019-03-22 00:44:00,0.019221
BC-BB-F3-18100-0101,2019-03-22 00:45:00,0.021265
BC-BB-F3-18100-0101,2019-03-22 00:46:00,0.023371
BC-BB-F3-18100-0101,2019-03-22 00:47:00,0.025426
BC-BB-F3-18100-0101,2019-03-22 00:48:00,0.027421
BC-BB-F3-18100-0101,2019-03-22 00:49:00,0.029453
BC-BB-F3-18100-0101,2019-03-22 00:50:00,0.031679
BC-BB-F3-18100-0101,2019-03-22 00:51:00,0.034316
BC-BB-F3-18100-0101,2019-03-22 00:52:00,0.037498
BC-BB-F3-18100-0101,2019-03-22 00:53:00,0.041064
BC-BB-F3-18100-0101,2019-03-22 00:54:00,0.044636
BC-BB-F3-18100-0101,2019-03-22 00:55:00,0.047893
BC-BB-F3-18100-0101,2019-03-22 00:56:00,0.050707
BC-BB-F3-18100-0101,2019-03-22 00:57:00,0.053026
BC-BB-F3-18100-0101,2019-03-22 00:58:00,0.054907
BC-BB-F3-18100-0101,2019-03-22 00:59:00,0.056563
BC-BB-F3-18100-0101,2019-03-22 01:00:00,0.058136
BC-BB-F3-18100-0101,2019-03-22 01:01:00,0.059669
BC-BB-F3-18100-0101,2019-03-22 01:02:00,0.061162
BC-BB-F3-18100-0101,2019-03-22 01:03:00,0.062602
BC-BB-F3-18100-0101,2019-03-22 01:04:00,0.063982
BC-BB-F3-18100-0101,2019-03-22 01:05:00,0.065299
BC-BB-F3-18100-0101,2019-03-22 01:06:00,0.06656
BC-BB-F3-18100-0101,2019-03-22 01:07:00,0.067785
BC-BB-F3-18100-0101,2019-03-22 01:08:00,0.069006
BC-BB-F3-18100-0101,2019-03-22 01:09:00,0.070263
BC-BB-F3-18100-0101,2019-03-22 01:10:00,0.071594
BC-BB-F3-18100-0101,2019-03-22 01:11:00,0.073033
BC-BB-F3-18100-0101,2019-03-22 01:12:00,0.07463
BC-BB-F3-18100-0101,2019-03-22 01:13:00,0.076488
BC-BB-F3-18100-0101,2019-03-22 01:14:00,0.078729
BC-BB-F3-18100-0101,2019-03-22 01:15:00,0.081467
BC-BB-F3-18100-0101,2019-03-22 01:16:00,0.084796
BC-BB-F3-18100-0101,2019-03-22 01:17:00,0.088804
BC-BB-F3-18100-0101,2019-03-22 01:18:00,0.093566
BC-BB-F3-18100-0101,2019-03-22 01:19:00,0.099141
BC-BB-F3-18100-0101,2019-03-22 01:20:00,0.105667
BC-BB-F3-18100-0101,2019-03-22 01:21:00,0.113312
BC-BB-F3-18100-0101,2019-03-22 01:22:00,0.122183
BC-BB-F3-18100-0101,2019-03-22 01:23:00,0.132268
BC-BB-F3-18100-0101,2019-03-22 01:24:00,0.143559
BC-BB-F3-18100-0101,2019-03-22 01:25:00,0.156093
